"Tiempo (s) Serie Nº 1";"Fuerza (N) Serie Nº 1";"Tiempo (s) Serie Nº 2";"Fuerza (N) Serie Nº 2"
0,466;-0,661;0,466;-0,534
0,468;-0,652;0,468;-0,541
0,470;-0,650;0,470;-0,538
0,472;-0,648;0,472;-0,534
0,474;-0,650;0,474;-0,530
0,476;-0,650;0,476;-0,539
0,478;-0,648;0,478;-0,534
0,480;-0,659;0,480;-0,539
0,482;-0,657;0,482;-0,539
0,484;-0,654;0,484;-0,550
0,486;-0,657;0,486;-0,548
0,488;-0,654;0,488;-0,554
0,490;-0,656;0,490;-0,550
0,492;-0,643;0,492;-0,547
0,494;-0,648;0,494;-0,548
0,496;-0,654;0,496;-0,548
0,498;-0,652;0,498;-0,555
0,500;-0,650;0,500;-0,543
0,502;-0,654;0,502;-0,539
0,504;-0,652;0,504;-0,543
0,506;-0,654;0,506;-0,539
0,508;-0,661;0,508;-0,538
0,510;-0,654;0,510;-0,532
0,512;-0,657;0,512;-0,532
0,514;-0,654;0,514;-0,536
0,516;-0,654;0,516;-0,536
0,518;-0,652;0,518;-0,534
0,520;-0,652;0,520;-0,547
0,522;-0,654;0,522;-0,543
0,524;-0,657;0,524;-0,548
0,526;-0,652;0,526;-0,541
0,528;-0,647;0,528;-0,538
0,530;-0,652;0,530;-0,538
0,532;-0,654;0,532;-0,534
0,534;-0,661;0,534;-0,536
0,536;-0,656;0,536;-0,532
0,538;-0,650;0,538;-0,534
0,540;-0,654;0,540;-0,529
0,542;-0,659;0,542;-0,534
0,544;-0,665;0,544;-0,530
0,546;-0,661;0,546;-0,527
0,548;-0,657;0,548;-0,525
0,550;-0,656;0,550;-0,525
0,552;-0,657;0,552;-0,529
0,554;-0,656;0,554;-0,538
0,556;-0,650;0,556;-0,543
0,558;-0,647;0,558;-0,555
0,560;-0,652;0,560;-0,554
0,562;-0,643;0,562;-0,552
0,564;-0,647;0,564;-0,552
0,566;-0,647;0,566;-0,536
0,568;-0,645;0,568;-0,525
0,570;-0,648;0,570;-0,523
0,572;-0,645;0,572;-0,521
0,574;-0,648;0,574;-0,520
0,576;-0,657;0,576;-0,538
0,578;-0,650;0,578;-0,538
0,580;-0,647;0,580;-0,541
0,582;-0,654;0,582;-0,538
0,584;-0,650;0,584;-0,539
0,586;-0,652;0,586;-0,538
0,588;-0,647;0,588;-0,548
0,590;-0,652;0,590;-0,547
0,592;-0,654;0,592;-0,557
0,594;-0,652;0,594;-0,563
0,596;-0,656;0,596;-0,568
0,598;-0,654;0,598;-0,568
0,600;-0,654;0,600;-0,554
0,602;-0,652;0,602;-0,539
0,604;-0,661;0,604;-0,532
0,606;-0,654;0,606;-0,532
0,608;-0,656;0,608;-0,536
0,610;-0,656;0,610;-0,532
0,612;-0,659;0,612;-0,530
0,614;-0,661;0,614;-0,534
0,616;-0,659;0,616;-0,534
0,618;-0,652;0,618;-0,539
0,620;-0,654;0,620;-0,536
0,622;-0,654;0,622;-0,547
0,624;-0,652;0,624;-0,545
0,626;-0,648;0,626;-0,545
0,628;-0,652;0,628;-0,559
0,630;-0,650;0,630;-0,563
0,632;-0,654;0,632;-0,566
0,634;-0,652;0,634;-0,554
0,636;-0,650;0,636;-0,545
0,638;-0,645;0,638;-0,539
0,640;-0,645;0,640;-0,532
0,642;-0,652;0,642;-0,529
0,644;-0,648;0,644;-0,520
0,646;-0,647;0,646;-0,527
0,648;-0,652;0,648;-0,530
0,650;-0,648;0,650;-0,534
0,652;-0,656;0,652;-0,534
0,654;-0,656;0,654;-0,534
0,656;-0,648;0,656;-0,530
0,658;-0,654;0,658;-0,539
0,660;-0,657;0,660;-0,543
0,662;-0,647;0,662;-0,550
0,664;-0,648;0,664;-0,561
0,666;-0,647;0,666;-0,563
0,668;-0,652;0,668;-0,554
0,670;-0,650;0,670;-0,552
0,672;-0,656;0,672;-0,548
0,674;-0,654;0,674;-0,536
0,676;-0,657;0,676;-0,529
0,678;-0,652;0,678;-0,520
0,680;-0,654;0,680;-0,530
0,682;-0,648;0,682;-0,521
0,684;-0,650;0,684;-0,527
0,686;-0,656;0,686;-0,527
0,688;-0,648;0,688;-0,527
0,690;-0,650;0,690;-0,532
0,692;-0,643;0,692;-0,539
0,694;-0,645;0,694;-0,539
0,696;-0,648;0,696;-0,545
0,698;-0,647;0,698;-0,550
0,700;-0,652;0,700;-0,548
0,702;-0,648;0,702;-0,563
0,704;-0,648;0,704;-0,548
0,706;-0,643;0,706;-0,543
0,708;-0,647;0,708;-0,539
0,710;-0,647;0,710;-0,538
0,712;-0,652;0,712;-0,525
0,714;-0,648;0,714;-0,520
0,716;-0,650;0,716;-0,525
0,718;-0,652;0,718;-0,527
0,720;-0,645;0,720;-0,529
0,722;-0,654;0,722;-0,539
0,724;-0,654;0,724;-0,532
0,726;-0,650;0,726;-0,530
0,728;-0,652;0,728;-0,541
0,730;-0,652;0,730;-0,547
0,732;-0,652;0,732;-0,557
0,734;-0,657;0,734;-0,555
0,736;-0,661;0,736;-0,568
0,738;-0,654;0,738;-0,566
0,740;-0,656;0,740;-0,564
0,742;-0,656;0,742;-0,550
0,744;-0,654;0,744;-0,541
0,746;-0,654;0,746;-0,534
0,748;-0,656;0,748;-0,538
0,750;-0,656;0,750;-0,536
0,752;-0,657;0,752;-0,541
0,754;-0,654;0,754;-0,534
0,756;-0,650;0,756;-0,530
0,758;-0,654;0,758;-0,536
0,760;-0,648;0,760;-0,536
0,762;-0,654;0,762;-0,547
0,764;-0,654;0,764;-0,541
0,766;-0,652;0,766;-0,548
0,768;-0,659;0,768;-0,554
0,770;-0,656;0,770;-0,552
0,772;-0,652;0,772;-0,557
0,774;-0,654;0,774;-0,550
0,776;-0,654;0,776;-0,550
0,778;-0,652;0,778;-0,539
0,780;-0,650;0,780;-0,532
0,782;-0,654;0,782;-0,527
0,784;-0,652;0,784;-0,532
0,786;-0,659;0,786;-0,527
0,788;-0,656;0,788;-0,527
0,790;-0,652;0,790;-0,530
0,792;-0,656;0,792;-0,530
0,794;-0,656;0,794;-0,538
0,796;-0,647;0,796;-0,530
0,798;-0,654;0,798;-0,536
0,800;-0,661;0,800;-0,543
