"Tiempo (s) Serie Nº 2";"Fuerza (N) Serie Nº 2";"Tiempo (s) Serie Nº 3";"Fuerza (N) Serie Nº 3"
0,794;-0,663;0,794;-0,507
0,796;-0,661;0,796;-0,518
0,798;-0,659;0,798;-0,516
0,800;-0,668;0,800;-0,514
0,802;-0,675;0,802;-0,523
0,804;-0,668;0,804;-0,509
0,806;-0,666;0,806;-0,516
0,808;-0,666;0,808;-0,514
0,810;-0,672;0,810;-0,514
0,812;-0,670;0,812;-0,513
0,814;-0,665;0,814;-0,511
0,816;-0,666;0,816;-0,500
0,818;-0,665;0,818;-0,514
0,820;-0,668;0,820;-0,513
0,822;-0,666;0,822;-0,500
0,824;-0,663;0,824;-0,509
0,826;-0,665;0,826;-0,500
0,828;-0,665;0,828;-0,505
0,830;-0,666;0,830;-0,504
0,832;-0,663;0,832;-0,513
0,834;-0,661;0,834;-0,509
0,836;-0,666;0,836;-0,507
0,838;-0,661;0,838;-0,504
0,840;-0,665;0,840;-0,507
0,842;-0,659;0,842;-0,509
0,844;-0,657;0,844;-0,509
0,846;-0,659;0,846;-0,514
0,848;-0,661;0,848;-0,505
0,850;-0,666;0,850;-0,513
0,852;-0,657;0,852;-0,516
0,854;-0,666;0,854;-0,505
0,856;-0,665;0,856;-0,511
0,858;-0,663;0,858;-0,511
0,860;-0,663;0,860;-0,514
0,862;-0,672;0,862;-0,516
0,864;-0,665;0,864;-0,520
0,866;-0,668;0,866;-0,518
0,868;-0,663;0,868;-0,520
0,870;-0,665;0,870;-0,511
0,872;-0,659;0,872;-0,516
0,874;-0,661;0,874;-0,516
0,876;-0,661;0,876;-0,520
0,878;-0,665;0,878;-0,518
0,880;-0,661;0,880;-0,523
0,882;-0,665;0,882;-0,520
0,884;-0,666;0,884;-0,518
0,886;-0,661;0,886;-0,511
0,888;-0,665;0,888;-0,521
0,890;-0,661;0,890;-0,511
0,892;-0,663;0,892;-0,514
0,894;-0,665;0,894;-0,520
0,896;-0,670;0,896;-0,516
0,898;-0,666;0,898;-0,516
0,900;-0,663;0,900;-0,516
0,902;-0,661;0,902;-0,516
0,904;-0,672;0,904;-0,520
0,906;-0,659;0,906;-0,514
0,908;-0,666;0,908;-0,513
0,910;-0,668;0,910;-0,516
0,912;-0,668;0,912;-0,516
0,914;-0,665;0,914;-0,513
0,916;-0,663;0,916;-0,525
0,918;-0,661;0,918;-0,509
0,920;-0,666;0,920;-0,509
0,922;-0,659;0,922;-0,514
0,924;-0,661;0,924;-0,516
0,926;-0,663;0,926;-0,511
0,928;-0,663;0,928;-0,520
0,930;-0,665;0,930;-0,514
0,932;-0,665;0,932;-0,514
0,934;-0,659;0,934;-0,513
0,936;-0,666;0,936;-0,509
0,938;-0,665;0,938;-0,514
0,940;-0,663;0,940;-0,514
0,942;-0,661;0,942;-0,514
0,944;-0,665;0,944;-0,511
0,946;-0,663;0,946;-0,514
0,948;-0,663;0,948;-0,513
0,950;-0,659;0,950;-0,507
0,952;-0,668;0,952;-0,511
0,954;-0,663;0,954;-0,516
0,956;-0,665;0,956;-0,507
0,958;-0,659;0,958;-0,507
0,960;-0,661;0,960;-0,511
0,962;-0,663;0,962;-0,507
0,964;-0,661;0,964;-0,507
0,966;-0,661;0,966;-0,505
0,968;-0,666;0,968;-0,513
0,970;-0,661;0,970;-0,509
0,972;-0,659;0,972;-0,507
0,974;-0,661;0,974;-0,511
0,976;-0,668;0,976;-0,504
0,978;-0,668;0,978;-0,511
0,980;-0,661;0,980;-0,505
0,982;-0,663;0,982;-0,509
0,984;-0,665;0,984;-0,518
0,986;-0,663;0,986;-0,509
0,988;-0,659;0,988;-0,513
0,990;-0,659;0,990;-0,516
0,992;-0,661;0,992;-0,511
0,994;-0,666;0,994;-0,511
0,996;-0,666;0,996;-0,516
0,998;-0,665;0,998;-0,511
1,000;-0,666;1,000;-0,518
1,002;-0,663;1,002;-0,513
1,004;-0,663;1,004;-0,513
1,006;-0,661;1,006;-0,511
1,008;-0,666;1,008;-0,511
1,010;-0,666;1,010;-0,511
1,012;-0,665;1,012;-0,521
1,014;-0,663;1,014;-0,523
1,016;-0,665;1,016;-0,518
1,018;-0,666;1,018;-0,518
1,020;-0,663;1,020;-0,523
1,022;-0,666;1,022;-0,521
1,024;-0,672;1,024;-0,518
1,026;-0,665;1,026;-0,520
1,028;-0,661;1,028;-0,518
1,030;-0,657;1,030;-0,518
1,032;-0,668;1,032;-0,521
1,034;-0,670;1,034;-0,518
1,036;-0,663;1,036;-0,520
1,038;-0,665;1,038;-0,521
1,040;-0,668;1,040;-0,514
1,042;-0,666;1,042;-0,514
1,044;-0,665;1,044;-0,520
1,046;-0,670;1,046;-0,513
1,048;-0,661;1,048;-0,507
1,050;-0,666;1,050;-0,513
1,052;-0,666;1,052;-0,511
1,054;-0,665;1,054;-0,513
1,056;-0,657;1,056;-0,516
1,058;-0,666;1,058;-0,521
1,060;-0,668;1,060;-0,518
1,062;-0,657;1,062;-0,513
1,064;-0,665;1,064;-0,518
1,066;-0,659;1,066;-0,511
1,068;-0,657;1,068;-0,507
1,070;-0,657;1,070;-0,513
1,072;-0,665;1,072;-0,514
1,074;-0,665;1,074;-0,513
1,076;-0,661;1,076;-0,516
1,078;-0,663;1,078;-0,513
1,080;-0,670;1,080;-0,514
1,082;-0,665;1,082;-0,513
1,084;-0,663;1,084;-0,514
1,086;-0,663;1,086;-0,509
1,088;-0,659;1,088;-0,502
1,090;-0,661;1,090;-0,514
1,092;-0,657;1,092;-0,511
1,094;-0,665;1,094;-0,511
1,096;-0,661;1,096;-0,514
1,098;-0,665;1,098;-0,513
1,100;-0,663;1,100;-0,509
1,102;-0,668;1,102;-0,514
1,104;-0,661;1,104;-0,513
1,106;-0,661;1,106;-0,513
1,108;-0,666;1,108;-0,513
1,110;-0,666;1,110;-0,514
1,112;-0,663;1,112;-0,511
1,114;-0,665;1,114;-0,507
1,116;-0,668;1,116;-0,504
1,118;-0,666;1,118;-0,504
1,120;-0,665;1,120;-0,513
1,122;-0,666;1,122;-0,511
1,124;-0,665;1,124;-0,511
1,126;-0,668;1,126;-0,509
1,128;-0,663;1,128;-0,513
1,130;-0,666;1,130;-0,509
1,132;-0,665;1,132;-0,505
1,134;-0,663;1,134;-0,511
1,136;-0,666;1,136;-0,513
1,138;-0,674;1,138;-0,505
1,140;-0,666;1,140;-0,514
1,142;-0,663;1,142;-0,518
1,144;-0,661;1,144;-0,518
1,146;-0,665;1,146;-0,520
1,148;-0,659;1,148;-0,514
1,150;-0,670;1,150;-0,509
1,152;-0,674;1,152;-0,520
1,154;-0,668;1,154;-0,516
1,156;-0,670;1,156;-0,516
1,158;-0,661;1,158;-0,523
1,160;-0,670;1,160;-0,521
1,162;-0,670;1,162;-0,525
1,164;-0,668;1,164;-0,521
1,166;-0,666;1,166;-0,518
1,168;-0,670;1,168;-0,520
1,170;-0,666;1,170;-0,520
1,172;-0,670;1,172;-0,513
1,174;-0,670;1,174;-0,513
1,176;-0,666;1,176;-0,523
1,178;-0,672;1,178;-0,518
1,180;-0,668;1,180;-0,520
1,182;-0,665;1,182;-0,516
1,184;-0,668;1,184;-0,518
1,186;-0,666;1,186;-0,507
1,188;-0,666;1,188;-0,511
1,190;-0,672;1,190;-0,511
1,192;-0,661;1,192;-0,511
1,194;-0,665;1,194;-0,505
1,196;-0,663;1,196;-0,511
1,198;-0,665;1,198;-0,513
1,200;-0,666;1,200;-0,513
1,202;-0,666;1,202;-0,521
1,204;-0,663;1,204;-0,518
1,206;-0,661;1,206;-0,514
1,208;-0,665;1,208;-0,509
1,210;-0,663;1,210;-0,516
1,212;-0,661;1,212;-0,516
1,214;-0,668;1,214;-0,514
1,216;-0,668;1,216;-0,511
1,218;-0,666;1,218;-0,521
1,220;-0,663;1,220;-0,511
1,222;-0,665;1,222;-0,514
1,224;-0,663;1,224;-0,511
1,226;-0,663;1,226;-0,511
1,228;-0,659;1,228;-0,504
1,230;-0,663;1,230;-0,505
1,232;-0,666;1,232;-0,514
1,234;-0,665;1,234;-0,502
1,236;-0,666;1,236;-0,511
1,238;-0,663;1,238;-0,509
1,240;-0,663;1,240;-0,513
1,242;-0,661;1,242;-0,514
1,244;-0,663;1,244;-0,513
1,246;-0,659;1,246;-0,516
1,248;-0,668;1,248;-0,513
1,250;-0,665;1,250;-0,513
1,252;-0,670;1,252;-0,521
1,254;-0,657;1,254;-0,511
1,256;-0,663;1,256;-0,513
1,258;-0,661;1,258;-0,514
1,260;-0,666;1,260;-0,511
1,262;-0,665;1,262;-0,516
1,264;-0,659;1,264;-0,516
1,266;-0,665;1,266;-0,514
1,268;-0,666;1,268;-0,513
1,270;-0,661;1,270;-0,513
1,272;-0,665;1,272;-0,516
1,274;-0,663;1,274;-0,514
1,276;-0,661;1,276;-0,511
1,278;-0,666;1,278;-0,518
1,280;-0,674;1,280;-0,509
1,282;-0,672;1,282;-0,513
1,284;-0,666;1,284;-0,511
1,286;-0,659;1,286;-0,514
1,288;-0,668;1,288;-0,513
1,290;-0,674;1,290;-0,514
1,292;-0,668;1,292;-0,516
1,294;-0,666;1,294;-0,516
1,296;-0,668;1,296;-0,514
1,298;-0,666;1,298;-0,520
1,300;-0,666;1,300;-0,521
1,302;-0,665;1,302;-0,521
1,304;-0,661;1,304;-0,521
1,306;-0,665;1,306;-0,520
1,308;-0,666;1,308;-0,518
1,310;-0,668;1,310;-0,511
1,312;-0,672;1,312;-0,516
1,314;-0,666;1,314;-0,511
1,316;-0,665;1,316;-0,514
1,318;-0,668;1,318;-0,509
1,320;-0,666;1,320;-0,518
1,322;-0,665;1,322;-0,521
1,324;-0,668;1,324;-0,521
1,326;-0,665;1,326;-0,518
1,328;-0,663;1,328;-0,518
1,330;-0,666;1,330;-0,518
1,332;-0,666;1,332;-0,518
1,334;-0,665;1,334;-0,518
1,336;-0,666;1,336;-0,509
1,338;-0,663;1,338;-0,514
1,340;-0,663;1,340;-0,516
1,342;-0,670;1,342;-0,518
1,344;-0,670;1,344;-0,513
1,346;-0,670;1,346;-0,516
1,348;-0,675;1,348;-0,511
1,350;-0,672;1,350;-0,509
1,352;-0,663;1,352;-0,513
1,354;-0,665;1,354;-0,521
1,356;-0,665;1,356;-0,507
1,358;-0,663;1,358;-0,507
1,360;-0,668;1,360;-0,509
1,362;-0,672;1,362;-0,511
