"Tiempo (s) Serie Nº 1";"Fuerza (N) Serie Nº 1";"Tiempo (s) Serie Nº 2";"Fuerza (N) Serie Nº 2"
1,110;-0,641;1,110;-0,568
1,112;-0,647;1,112;-0,573
1,114;-0,636;1,114;-0,573
1,116;-0,636;1,116;-0,579
1,118;-0,641;1,118;-0,575
1,120;-0,641;1,120;-0,582
1,122;-0,638;1,122;-0,582
1,124;-0,636;1,124;-0,579
1,126;-0,643;1,126;-0,577
1,128;-0,638;1,128;-0,581
1,130;-0,640;1,130;-0,579
1,132;-0,641;1,132;-0,582
1,134;-0,640;1,134;-0,572
1,136;-0,640;1,136;-0,577
1,138;-0,636;1,138;-0,584
1,140;-0,640;1,140;-0,573
1,142;-0,641;1,142;-0,573
1,144;-0,643;1,144;-0,577
1,146;-0,634;1,146;-0,570
1,148;-0,636;1,148;-0,575
1,150;-0,640;1,150;-0,577
1,152;-0,634;1,152;-0,577
1,154;-0,634;1,154;-0,572
1,156;-0,638;1,156;-0,577
1,158;-0,641;1,158;-0,581
1,160;-0,643;1,160;-0,589
1,162;-0,648;1,162;-0,579
1,164;-0,641;1,164;-0,584
1,166;-0,643;1,166;-0,577
1,168;-0,640;1,168;-0,573
1,170;-0,641;1,170;-0,573
1,172;-0,638;1,172;-0,575
1,174;-0,641;1,174;-0,579
1,176;-0,638;1,176;-0,577
1,178;-0,640;1,178;-0,581
1,180;-0,638;1,180;-0,582
1,182;-0,634;1,182;-0,575
1,184;-0,640;1,184;-0,581
1,186;-0,640;1,186;-0,586
1,188;-0,640;1,188;-0,572
1,190;-0,634;1,190;-0,584
1,192;-0,643;1,192;-0,586
1,194;-0,640;1,194;-0,586
1,196;-0,640;1,196;-0,588
1,198;-0,647;1,198;-0,588
1,200;-0,638;1,200;-0,589
1,202;-0,632;1,202;-0,588
1,204;-0,634;1,204;-0,586
1,206;-0,627;1,206;-0,581
1,208;-0,631;1,208;-0,579
1,210;-0,629;1,210;-0,581
1,212;-0,625;1,212;-0,582
1,214;-0,625;1,214;-0,573
1,216;-0,622;1,216;-0,573
1,218;-0,627;1,218;-0,579
1,220;-0,629;1,220;-0,570
1,222;-0,634;1,222;-0,575
1,224;-0,638;1,224;-0,577
1,226;-0,636;1,226;-0,584
1,228;-0,638;1,228;-0,579
1,230;-0,631;1,230;-0,584
1,232;-0,634;1,232;-0,577
1,234;-0,643;1,234;-0,579
1,236;-0,638;1,236;-0,579
1,238;-0,638;1,238;-0,579
1,240;-0,638;1,240;-0,573
1,242;-0,636;1,242;-0,573
1,244;-0,634;1,244;-0,572
1,246;-0,634;1,246;-0,572
1,248;-0,636;1,248;-0,570
1,250;-0,632;1,250;-0,568
1,252;-0,641;1,252;-0,570
1,254;-0,643;1,254;-0,577
1,256;-0,645;1,256;-0,579
1,258;-0,645;1,258;-0,579
1,260;-0,648;1,260;-0,577
1,262;-0,647;1,262;-0,579
1,264;-0,641;1,264;-0,573
1,266;-0,652;1,266;-0,572
1,268;-0,641;1,268;-0,579
1,270;-0,645;1,270;-0,573
1,272;-0,640;1,272;-0,577
1,274;-0,641;1,274;-0,575
1,276;-0,634;1,276;-0,573
1,278;-0,634;1,278;-0,570
1,280;-0,636;1,280;-0,572
1,282;-0,636;1,282;-0,575
1,284;-0,631;1,284;-0,573
1,286;-0,627;1,286;-0,572
1,288;-0,636;1,288;-0,575
1,290;-0,640;1,290;-0,577
1,292;-0,638;1,292;-0,575
1,294;-0,643;1,294;-0,584
1,296;-0,647;1,296;-0,584
1,298;-0,650;1,298;-0,579
1,300;-0,643;1,300;-0,581
1,302;-0,636;1,302;-0,581
1,304;-0,643;1,304;-0,573
1,306;-0,641;1,306;-0,572
1,308;-0,638;1,308;-0,579
1,310;-0,634;1,310;-0,582
1,312;-0,636;1,312;-0,577
1,314;-0,629;1,314;-0,579
1,316;-0,631;1,316;-0,581
1,318;-0,634;1,318;-0,582
1,320;-0,636;1,320;-0,588
1,322;-0,647;1,322;-0,584
1,324;-0,641;1,324;-0,582
1,326;-0,647;1,326;-0,582
1,328;-0,640;1,328;-0,584
1,330;-0,643;1,330;-0,586
1,332;-0,643;1,332;-0,586
1,334;-0,640;1,334;-0,589
1,336;-0,643;1,336;-0,586
1,338;-0,640;1,338;-0,588
1,340;-0,640;1,340;-0,582
1,342;-0,638;1,342;-0,584
1,344;-0,638;1,344;-0,581
1,346;-0,636;1,346;-0,575
1,348;-0,623;1,348;-0,579
1,350;-0,622;1,350;-0,584
1,352;-0,620;1,352;-0,582
1,354;-0,640;1,354;-0,579
1,356;-0,638;1,356;-0,579
1,358;-0,629;1,358;-0,579
1,360;-0,636;1,360;-0,582
1,362;-0,636;1,362;-0,577
1,364;-0,636;1,364;-0,588
1,366;-0,640;1,366;-0,581
1,368;-0,638;1,368;-0,581
1,370;-0,640;1,370;-0,588
1,372;-0,640;1,372;-0,572
1,374;-0,641;1,374;-0,581
1,376;-0,643;1,376;-0,575
1,378;-0,632;1,378;-0,581
1,380;-0,632;1,380;-0,584
1,382;-0,636;1,382;-0,570
1,384;-0,631;1,384;-0,573
1,386;-0,631;1,386;-0,570
1,388;-0,632;1,388;-0,568
1,390;-0,638;1,390;-0,563
1,392;-0,631;1,392;-0,570
1,394;-0,636;1,394;-0,563
1,396;-0,641;1,396;-0,568
1,398;-0,647;1,398;-0,568
1,400;-0,648;1,400;-0,570
1,402;-0,652;1,402;-0,577
1,404;-0,648;1,404;-0,577
1,406;-0,654;1,406;-0,572
1,408;-0,656;1,408;-0,573
1,410;-0,650;1,410;-0,575
1,412;-0,643;1,412;-0,582
1,414;-0,645;1,414;-0,582
1,416;-0,641;1,416;-0,586
1,418;-0,632;1,418;-0,577
1,420;-0,632;1,420;-0,579
1,422;-0,625;1,422;-0,572
1,424;-0,629;1,424;-0,575
1,426;-0,631;1,426;-0,581
1,428;-0,632;1,428;-0,577
1,430;-0,632;1,430;-0,572
1,432;-0,641;1,432;-0,581
1,434;-0,641;1,434;-0,577
1,436;-0,641;1,436;-0,579
1,438;-0,647;1,438;-0,579
1,440;-0,643;1,440;-0,586
1,442;-0,634;1,442;-0,586
1,444;-0,640;1,444;-0,582
1,446;-0,643;1,446;-0,579
1,448;-0,641;1,448;-0,588
1,450;-0,632;1,450;-0,584
1,452;-0,631;1,452;-0,584
1,454;-0,622;1,454;-0,584
1,456;-0,625;1,456;-0,586
1,458;-0,623;1,458;-0,575
1,460;-0,627;1,460;-0,581
1,462;-0,622;1,462;-0,572
1,464;-0,634;1,464;-0,572
