"Tiempo (s) Serie Nº 1";"Fuerza (N) Serie Nº 1";"Tiempo (s) Serie Nº 2";"Fuerza (N) Serie Nº 2"
0,884;-0,661;0,884;-0,523
0,886;-0,661;0,886;-0,518
0,888;-0,656;0,888;-0,527
0,890;-0,659;0,890;-0,520
0,892;-0,654;0,892;-0,525
0,894;-0,656;0,894;-0,527
0,896;-0,659;0,896;-0,529
0,898;-0,668;0,898;-0,521
0,900;-0,663;0,900;-0,529
0,902;-0,663;0,902;-0,523
0,904;-0,665;0,904;-0,516
0,906;-0,657;0,906;-0,525
0,908;-0,663;0,908;-0,527
0,910;-0,663;0,910;-0,525
0,912;-0,659;0,912;-0,523
0,914;-0,659;0,914;-0,521
0,916;-0,661;0,916;-0,529
0,918;-0,665;0,918;-0,525
0,920;-0,659;0,920;-0,530
0,922;-0,661;0,922;-0,532
0,924;-0,659;0,924;-0,525
0,926;-0,657;0,926;-0,516
0,928;-0,666;0,928;-0,523
0,930;-0,661;0,930;-0,527
0,932;-0,654;0,932;-0,529
0,934;-0,668;0,934;-0,529
0,936;-0,668;0,936;-0,527
0,938;-0,665;0,938;-0,525
0,940;-0,665;0,940;-0,523
0,942;-0,663;0,942;-0,527
0,944;-0,661;0,944;-0,525
0,946;-0,665;0,946;-0,525
0,948;-0,661;0,948;-0,523
0,950;-0,656;0,950;-0,527
0,952;-0,659;0,952;-0,523
0,954;-0,657;0,954;-0,516
0,956;-0,659;0,956;-0,518
0,958;-0,661;0,958;-0,514
0,960;-0,657;0,960;-0,518
0,962;-0,659;0,962;-0,516
0,964;-0,657;0,964;-0,511
0,966;-0,654;0,966;-0,518
0,968;-0,666;0,968;-0,516
0,970;-0,666;0,970;-0,513
0,972;-0,663;0,972;-0,511
0,974;-0,659;0,974;-0,518
0,976;-0,648;0,976;-0,514
0,978;-0,659;0,978;-0,514
0,980;-0,659;0,980;-0,523
0,982;-0,657;0,982;-0,516
0,984;-0,656;0,984;-0,514
0,986;-0,659;0,986;-0,521
0,988;-0,654;0,988;-0,518
0,990;-0,663;0,990;-0,521
0,992;-0,663;0,992;-0,520
0,994;-0,666;0,994;-0,514
0,996;-0,665;0,996;-0,518
0,998;-0,657;0,998;-0,518
1,000;-0,659;1,000;-0,511
1,002;-0,665;1,002;-0,520
1,004;-0,659;1,004;-0,514
1,006;-0,661;1,006;-0,518
1,008;-0,652;1,008;-0,521
1,010;-0,654;1,010;-0,520
1,012;-0,657;1,012;-0,521
1,014;-0,657;1,014;-0,516
1,016;-0,661;1,016;-0,523
1,018;-0,657;1,018;-0,516
1,020;-0,659;1,020;-0,518
1,022;-0,661;1,022;-0,529
1,024;-0,661;1,024;-0,529
1,026;-0,663;1,026;-0,525
1,028;-0,661;1,028;-0,525
1,030;-0,665;1,030;-0,520
1,032;-0,661;1,032;-0,525
1,034;-0,661;1,034;-0,525
1,036;-0,663;1,036;-0,523
1,038;-0,665;1,038;-0,525
1,040;-0,661;1,040;-0,520
1,042;-0,663;1,042;-0,520
1,044;-0,666;1,044;-0,529
1,046;-0,656;1,046;-0,525
1,048;-0,661;1,048;-0,525
1,050;-0,659;1,050;-0,521
1,052;-0,656;1,052;-0,520
1,054;-0,663;1,054;-0,523
1,056;-0,657;1,056;-0,520
1,058;-0,657;1,058;-0,527
1,060;-0,657;1,060;-0,523
1,062;-0,665;1,062;-0,518
1,064;-0,657;1,064;-0,518
1,066;-0,666;1,066;-0,518
1,068;-0,661;1,068;-0,520
1,070;-0,657;1,070;-0,521
1,072;-0,663;1,072;-0,525
1,074;-0,666;1,074;-0,527
1,076;-0,668;1,076;-0,525
1,078;-0,661;1,078;-0,529
1,080;-0,659;1,080;-0,518
1,082;-0,663;1,082;-0,520
1,084;-0,656;1,084;-0,521
1,086;-0,657;1,086;-0,518
1,088;-0,656;1,088;-0,521
1,090;-0,656;1,090;-0,513
1,092;-0,663;1,092;-0,514
1,094;-0,657;1,094;-0,520
1,096;-0,657;1,096;-0,521
