"Tiempo (s) Serie Nº 1";"Posición (m) Serie Nº 1";"Vector velocidad (m/s) Serie Nº 1";"Tiempo (s) Serie Nº 2";"Posición (m) Serie Nº 2";"Vector velocidad (m/s) Serie Nº 2";"Tiempo (s) Serie Nº 3";"Posición (m) Serie Nº 3";"Vector velocidad (m/s) Serie Nº 3";"Tiempo (s) Serie Nº 4";"Posición (m) Serie Nº 4";"Vector velocidad (m/s) Serie Nº 4";"Tiempo (s) Serie Nº 5";"Posición (m) Serie Nº 5";"Vector velocidad (m/s) Serie Nº 5"
1,010;0,20;0,00;1,010;0,14;0,25;1,010;0,20;-1,71E-4;1,010;0,21;0,00;1,010;0,19;0,37
1,020;0,20;3,07E-5;1,020;0,15;0,31;1,020;0,21;0,00;1,020;0,20;-0,01;1,020;0,20;0,26
1,030;0,20;-0,04;1,030;0,15;0,34;1,030;0,21;0,01;1,030;0,21;0,00;1,030;0,20;0,24
1,040;0,20;-0,16;1,040;0,15;0,39;1,040;0,21;-0,01;1,040;0,20;0,02;1,040;0,20;0,15
1,050;0,20;-0,29;1,050;0,16;0,45;1,050;0,21;-0,01;1,050;0,20;-3,43E-4;1,050;0,21;0,13
1,060;0,20;-0,48;1,060;0,16;0,52;1,060;0,20;-0,09;1,060;0,21;0,01;1,060;0,20;0,07
1,070;0,19;-0,66;1,070;0,17;0,57;1,070;0,20;-0,25;1,070;0,20;-0,01;1,070;0,21;0,01
1,080;0,18;-0,81;1,080;0,17;0,64;1,080;0,20;-0,39;1,080;0,21;0,00;1,080;0,20;0,11
1,090;0,18;-0,87;1,090;0,18;0,65;1,090;0,20;-0,52;1,090;0,20;0,01;1,090;0,20;0,02
1,100;0,17;-0,80;1,100;0,19;0,58;1,100;0,19;-0,64;1,100;0,21;0,00;1,100;0,21;0,06
1,110;0,16;-0,71;1,110;0,19;0,46;1,110;0,18;-0,80;1,110;0,20;0,01;1,110;0,20;-0,10
1,120;0,15;-0,58;1,120;0,20;0,29;1,120;0,17;-0,89;1,120;0,20;-0,01;1,120;0,21;-0,08
1,130;0,15;-0,46;1,130;0,20;0,32;1,130;0,16;-0,83;1,130;0,21;-0,01;1,130;0,20;-0,05
1,140;0,14;-0,32;1,140;0,20;0,24;1,140;0,16;-0,69;1,140;0,20;0,00;1,140;0,21;-0,04
1,150;0,14;-0,13;1,150;0,21;0,17;1,150;0,15;-0,55;1,150;0,21;0,01;1,150;0,20;0,02
1,160;0,14;0,06;1,160;0,20;0,01;1,160;0,15;-0,44;1,160;0,20;0,02;1,160;0,21;0,02
1,170;0,14;0,22;1,170;0,21;-0,02;1,170;0,14;-0,30;1,170;0,20;-0,02;1,170;0,20;0,12
