"Tiempo (s) Serie Nº 1";"Posición (m) Serie Nº 1";"Vector velocidad (m/s) Serie Nº 1";"Aceleración (m/s²) Serie Nº 1";"Fuerza (N) Serie Nº 1";"Tiempo (s) Serie Nº 2";"Posición (m) Serie Nº 2";"Vector velocidad (m/s) Serie Nº 2";"Aceleración (m/s²) Serie Nº 2";"Fuerza (N) Serie Nº 2"
2,050;0,25;-0,04;-0,25;4,313;2,050;0,25;-0,01;-0,01;4,694
2,060;0,25;-0,04;-0,11;4,308;2,060;0,25;-0,01;0,10;4,692
2,070;0,25;-0,04;0,09;4,303;2,070;0,25;-0,01;0,06;4,678
2,080;0,25;-0,04;0,24;4,292;2,080;0,25;-0,01;-0,08;4,655
2,090;0,25;-0,04;0,24;4,267;2,090;0,25;-0,01;-0,28;4,612
2,100;0,25;-0,03;0,19;4,245;2,100;0,25;-0,01;-0,43;4,564
2,110;0,25;-0,03;0,19;4,213;2,110;0,25;-0,02;-0,48;4,506
2,120;0,25;-0,03;0,24;4,186;2,120;0,25;-0,03;-0,40;4,464
2,130;0,25;-0,03;0,29;4,172;2,130;0,25;-0,03;-0,20;4,426
2,140;0,25;-0,03;0,28;4,138;2,140;0,25;-0,03;-0,09;4,410
2,150;0,25;-0,02;0,33;4,124;2,150;0,25;-0,03;-0,14;4,421
2,160;0,25;-0,02;0,42;4,100;2,160;0,25;-0,03;-0,19;4,444
2,170;0,25;-0,01;0,53;4,086;2,170;0,25;-0,03;-0,19;4,447
2,180;0,25;-0,01;0,54;4,077;2,180;0,25;-0,03;-0,15;4,438
2,190;0,25;0,00;0,40;4,043;2,190;0,25;-0,04;-0,06;4,419
2,200;0,25;0,00;0,20;4,015;2,200;0,25;-0,04;0,13;4,388
2,210;0,25;0,00;0,05;3,975;2,210;0,25;-0,03;0,33;4,340
2,220;0,25;0,00;-0,04;3,898;2,220;0,25;-0,03;0,34;4,310
2,230;0,25;2,04E-4;-0,14;3,931;2,230;0,25;-0,03;0,28;4,319
2,240;0,25;0,00;-0,24;3,904;2,240;0,25;-0,03;0,32;4,308
2,250;0,25;-0,01;-0,25;3,884;2,250;0,25;-0,02;0,47;4,313
2,260;0,24;-0,01;-0,15;3,821;2,260;0,25;-0,01;0,53;4,313
2,270;0,24;-0,01;-0,09;3,832;2,270;0,25;-0,01;0,44;4,306
2,280;0,24;-0,01;-0,13;3,830;2,280;0,25;-0,01;0,30;4,263
2,290;0,24;-0,01;-0,28;3,821;2,290;0,25;0,00;0,11;4,195
