"Tiempo (s) Serie Nº 1";"Fuerza (N) Serie Nº 1";"Posición (m) Serie Nº 1";"Vector velocidad (m/s) Serie Nº 1";"Aceleración (m/s²) Serie Nº 1"
0,410;-0,285;0,13;0,27;1,60
0,420;-0,249;0,13;0,15;-6,55
0,430;-0,258;0,13;0,10;-11,23
0,440;-0,277;0,13;-0,06;-11,20
0,450;-0,254;0,14;-0,18;-6,43
0,460;-0,256;0,13;-0,23;5,10
0,470;-0,276;0,13;-0,11;11,82
0,480;-0,261;0,13;0,17;6,87
0,490;-0,258;0,13;0,12;-5,27
0,500;-0,270;0,13;-0,05;-10,19
0,510;-0,263;0,13;-0,20;-0,68
0,520;-0,258;0,13;-0,12;9,13
0,530;-0,267;0,12;0,14;6,75
0,540;-0,267;0,13;0,15;-4,17
0,550;-0,254;0,13;-0,07;-8,22
0,560;-0,270;0,13;-0,16;-1,89
0,570;-0,261;0,12;-0,04;2,92
0,580;-0,254;0,13;0,01;1,58
0,590;-0,270;0,13;-0,06;0,15
0,600;-0,260;0,12;-0,04;1,29
0,610;-0,263;0,13;0,02;1,40
0,620;-0,270;0,13;0,00;-0,27
0,630;-0,258;0,12;-0,03;-0,67
0,640;-0,261;0,13;-0,01;-0,56
0,650;-0,267;0,13;0,00;-0,97
0,660;-0,261;0,13;-0,05;-0,63
0,670;-0,265;0,12;-0,04;1,06
0,680;-0,267;0,12;-0,01;2,34
0,690;-0,268;0,12;0,02;1,12
0,700;-0,258;0,12;0,03;-0,88
0,710;-0,261;0,13;-0,01;-1,71
0,720;-0,267;0,13;-0,03;-0,58
0,730;-0,265;0,12;-0,02;1,05
0,740;-0,270;0,13;0,01;1,07
0,750;-0,267;0,12;0,01;0,61
0,760;-0,261;0,12;0,00;0,84
0,770;-0,265;0,12;0,02;1,43
0,780;-0,268;0,13;0,05;1,51
0,790;-0,263;0,13;0,05;0,83
0,800;-0,263;0,13;0,06;0,35
0,810;-0,265;0,13;0,06;0,02
0,820;-0,267;0,13;0,06;-0,47
0,830;-0,272;0,13;0,05;-0,74
0,840;-0,256;0,13;0,04;-1,34
0,850;-0,258;0,13;0,03;-1,28
0,860;-0,283;0,13;0,00;-0,33
0,870;-0,258;0,13;0,02;0,84
0,880;-0,274;0,13;0,03;1,44
0,890;-0,260;0,13;0,05;1,15
0,900;-0,268;0,13;0,05;1,15
0,910;-0,274;0,13;0,07;0,99
0,920;-0,256;0,13;0,08;0,06
0,930;-0,268;0,13;0,08;-1,45
0,940;-0,276;0,13;0,05;-2,27
0,950;-0,265;0,13;0,01;-1,62
0,960;-0,260;0,13;0,01;-0,35
0,970;-0,274;0,13;0,02;0,19
0,980;-0,276;0,13;0,02;0,09
0,990;-0,263;0,13;0,01;0,22
1,000;-0,260;0,13;0,02;-0,47
1,010;-0,274;0,13;0,03;-3,26
1,020;-0,267;0,13;-0,03;-5,53
1,030;-0,258;0,13;-0,14;-2,41
1,040;-0,274;0,13;-0,14;5,74
1,050;-0,281;0,13;0,00;12,07
1,060;-0,251;0,13;0,18;11,37
1,070;-0,268;0,13;0,27;6,18
1,080;-0,274;0,14;0,27;1,77
1,090;-0,260;0,14;0,27;0,24
1,100;-0,261;0,14;0,28;0,24
1,110;-0,277;0,15;0,28;0,29
1,120;-0,265;0,15;0,28;0,29
1,130;-0,256;0,15;0,29;0,29
1,140;-0,279;0,15;0,29;0,29
1,150;-0,261;0,16;0,29;0,29
1,160;-0,260;0,16;0,29;0,29
1,170;-0,263;0,16;0,30;0,29
1,180;-0,261;0,17;0,30;0,28
1,190;-0,274;0,17;0,30;0,33
1,200;-0,258;0,17;0,31;0,38
1,210;-0,268;0,17;0,31;0,37
1,220;-0,276;0,18;0,32;-0,31
1,230;-0,247;0,18;0,32;-1,68
1,240;-0,268;0,18;0,28;-2,49
1,250;-0,268;0,19;0,24;-1,47
1,260;-0,263;0,19;0,24;1,02
1,270;-0,265;0,19;0,27;2,60
1,280;-0,258;0,19;0,31;2,31
1,290;-0,277;0,20;0,32;1,11
1,300;-0,260;0,20;0,33;-0,05
1,310;-0,270;0,20;0,33;-0,88
1,320;-0,265;0,21;0,31;-1,33
1,330;-0,261;0,21;0,29;-0,76
1,340;-0,276;0,21;0,29;0,74
1,350;-0,254;0,22;0,30;1,98
1,360;-0,279;0,22;0,34;2,33
1,370;-0,252;0,22;0,36;1,72
1,380;-0,274;0,23;0,37;0,89
1,390;-0,268;0,23;0,37;0,43
1,400;-0,258;0,23;0,37;0,37
1,410;-0,265;0,24;0,38;0,48
1,420;-0,276;0,24;0,39;0,39
