"Posición (m) Serie Nº 1";"Fuerza (N) Serie Nº 1";"Posición (m) Serie Nº 2";"Fuerza (N) Serie Nº 2"
0,26;-2,409;0,27;-2,973
0,26;-2,382;0,27;-2,944
0,26;-2,350;0,27;-2,906
0,26;-2,329;0,27;-2,876
0,26;-2,284;0,27;-2,863
0,26;-2,264;0,27;-2,844
0,26;-2,257;0,27;-2,797
0,26;-2,195;0,27;-2,776
0,26;-2,164;0,27;-2,756
0,26;-2,114;0,27;-2,740
0,26;-2,086;0,26;-2,742
0,26;-2,064;0,26;-2,720
0,26;-2,034;0,26;-2,711
0,26;-2,043;0,26;-2,699
0,26;-2,021;0,26;-2,667
0,26;-1,996;0,26;-2,633
0,26;-1,967;0,26;-2,602
0,26;-1,914;0,26;-2,577
0,26;-1,914;0,26;-2,565
0,26;-1,880;0,26;-2,547
0,26;-1,841;0,26;-2,540
0,26;-1,821;0,26;-2,509
0,26;-1,780;0,26;-2,484
0,26;-1,737;0,26;-2,458
0,26;-1,696;0,26;-2,432
0,26;-1,685;0,26;-2,425
0,25;-1,667;0,26;-2,404
0,25;-1,637;0,26;-2,384
0,25;-1,655;0,26;-2,343
0,25;-1,622;0,26;-2,331
0,25;-1,601;0,26;-2,302
0,25;-1,599;0,26;-2,288
0,25;-1,547;0,26;-2,286
0,25;-1,531;0,26;-2,288
0,25;-1,495;0,26;-2,280
0,25;-1,483;0,26;-2,252
0,25;-1,477;0,26;-2,220
0,25;-1,458;0,26;-2,166
0,25;-1,451;0,26;-2,141
0,25;-1,426;0,26;-2,145
0,25;-1,386;0,26;-2,112
0,25;-1,374;0,26;-2,112
0,25;-1,331;0,26;-2,094
0,25;-1,338;0,26;-2,086
0,25;-1,333;0,26;-2,094
0,25;-1,350;0,26;-2,075
0,25;-1,325;0,26;-2,060
0,25;-1,304;0,26;-2,053
0,25;-1,295;0,26;-2,034
0,25;-1,265;0,26;-2,019
0,25;-1,209;0,26;-1,984
0,25;-1,190;0,26;-1,962
0,25;-1,184;0,26;-1,930
0,25;-1,198;0,26;-1,900
0,25;-1,186;0,26;-1,878
0,25;-1,191;0,26;-1,855
0,25;-1,166;0,26;-1,855
0,25;-1,154;0,26;-1,853
0,25;-1,147;0,26;-1,837
0,25;-1,122;0,26;-1,826
0,25;-1,100;0,26;-1,796
0,25;-1,079;0,26;-1,781
0,25;-1,077;0,26;-1,751
0,25;-1,048;0,26;-1,724
0,25;-1,039;0,26;-1,699
0,25;-1,016;0,26;-1,692
0,25;-1,000;0,25;-1,665
0,25;-0,973;0,25;-1,656
0,25;-0,966;0,25;-1,655
0,25;-0,962;0,25;-1,640
0,25;-0,959;0,25;-1,601
0,25;-0,930;0,25;-1,596
0,25;-0,905;0,25;-1,563
0,25;-0,902;0,25;-1,533
0,25;-0,862;0,25;-1,533
0,25;-0,857;0,25;-1,510
0,25;-0,823;0,25;-1,494
0,25;-0,819;0,25;-1,488
0,25;-0,789;0,25;-1,469
0,25;-0,784;0,25;-1,451
0,25;-0,767;0,25;-1,433
0,25;-0,737;0,25;-1,418
0,25;-0,719;0,25;-1,395
0,25;-0,694;0,25;-1,404
0,25;-0,689;0,25;-1,361
0,25;-0,674;0,25;-1,347
0,25;-0,658;0,25;-1,320
0,24;-0,648;0,25;-1,308
0,24;-0,628;0,25;-1,281
0,24;-0,624;0,25;-1,281
0,24;-0,592;0,25;-1,257
0,24;-0,599;0,25;-1,245
0,24;-0,594;0,25;-1,225
0,24;-0,567;0,25;-1,215
0,24;-0,544;0,25;-1,202
0,24;-0,531;0,25;-1,198
0,24;-0,505;0,25;-1,191
0,24;-0,476;0,25;-1,184
0,24;-0,471;0,25;-1,173
0,24;-0,467;0,25;-1,184
0,24;-0,446;0,25;-1,179
0,24;-0,440;0,25;-1,170
0,24;-0,419;0,25;-1,132
0,24;-0,419;0,25;-1,100
0,24;-0,410;0,25;-1,075
