"Posición (m) Serie Nº 1";"Fuerza (N) Serie Nº 1"
0,32;-10,869
0,32;-10,867
0,32;-10,863
0,32;-10,867
0,32;-10,870
0,32;-10,861
0,32;-10,870
0,32;-10,865
0,32;-10,869
0,32;-10,869
0,32;-10,863
0,32;-10,870
0,32;-10,867
0,32;-10,865
0,32;-10,872
0,32;-10,863
0,32;-10,863
0,32;-10,867
0,32;-10,858
0,32;-10,861
0,32;-10,869
0,32;-10,856
0,32;-10,869
0,32;-10,867
0,32;-10,858
0,32;-10,874
0,32;-10,852
0,32;-10,863
0,32;-10,865
0,32;-10,856
0,32;-10,870
0,32;-10,865
0,32;-10,858
0,32;-10,861
0,32;-10,858
0,32;-10,861
0,32;-10,860
0,32;-10,856
0,32;-10,863
0,32;-10,858
0,32;-10,847
0,32;-10,872
0,32;-10,851
0,32;-10,858
0,32;-10,869
0,32;-10,847
0,32;-10,860
0,32;-10,865
0,32;-10,849
0,32;-10,863
0,32;-10,867
0,32;-10,845
0,32;-10,869
0,32;-10,856
0,32;-10,860
0,32;-10,863
0,32;-10,860
0,32;-10,852
0,32;-10,865
0,32;-10,861
0,32;-10,854
0,32;-10,869
0,32;-10,852
0,32;-10,858
0,32;-10,860
0,32;-10,854
0,32;-10,858
0,32;-10,858
0,32;-10,861
0,32;-10,860
0,32;-10,849
0,32;-10,867
0,32;-10,861
0,32;-10,852
0,32;-10,867
0,32;-10,860
0,32;-10,856
0,32;-10,869
0,32;-10,858
0,32;-10,851
0,32;-10,865
0,32;-10,858
0,32;-10,854
0,32;-10,863
0,32;-10,851
0,32;-10,856
0,32;-10,854
0,32;-10,854
0,32;-10,854
0,32;-10,854
0,32;-10,860
0,32;-10,851
0,32;-10,852
0,32;-10,854
0,32;-10,852
0,32;-10,852
0,32;-10,854
0,32;-10,852
0,32;-10,852
0,32;-10,851
0,32;-10,856
0,32;-10,856
0,32;-10,845
0,32;-10,840
0,32;-10,854
0,32;-10,843
0,32;-10,852
0,32;-10,849
0,32;-10,847
0,32;-10,854
0,32;-10,852
0,32;-10,851
0,32;-10,858
0,32;-10,860
0,32;-10,849
0,32;-10,863
0,32;-10,860
0,32;-10,854
0,32;-10,861
0,32;-10,851
0,32;-10,858
0,32;-10,854
0,32;-10,847
0,32;-10,851
0,32;-10,854
0,32;-10,851
0,32;-10,852
0,32;-10,849
0,32;-10,849
0,32;-10,856
0,32;-10,849
0,32;-10,845
0,32;-10,852
0,32;-10,847
0,32;-10,847
0,32;-10,852
0,32;-10,847
0,32;-10,852
0,32;-10,852
0,32;-10,851
0,32;-10,851
0,32;-10,851
0,32;-10,849
0,32;-10,847
0,32;-10,845
0,32;-10,849
0,32;-10,847
0,32;-10,851
0,32;-10,842
0,32;-10,851
0,32;-10,847
0,32;-10,843
0,32;-10,845
0,32;-10,842
0,32;-10,845
0,32;-10,847
0,32;-10,845
0,32;-10,843
0,32;-10,849
0,32;-10,845
0,32;-10,847
0,32;-10,849
0,32;-10,838
0,32;-10,847
0,32;-10,843
0,32;-10,842
0,32;-10,847
0,32;-10,847
