"Posición (m) Serie Nº 1";"Fuerza (N) Serie Nº 1"
0,32;-9,271
0,32;-9,241
0,32;-9,227
0,32;-9,230
0,32;-9,248
0,32;-9,261
0,32;-9,261
0,32;-9,266
0,32;-9,280
0,32;-9,291
0,32;-9,288
0,32;-9,284
0,32;-9,304
0,32;-9,327
0,32;-9,354
0,32;-9,352
0,32;-9,352
0,32;-9,359
0,32;-9,368
0,32;-9,377
0,32;-9,379
0,32;-9,370
0,32;-9,372
0,32;-9,350
0,32;-9,313
0,32;-9,257
0,32;-9,211
0,32;-9,191
0,32;-9,171
0,32;-9,146
0,32;-9,134
0,32;-9,121
0,32;-9,118
0,32;-9,119
0,32;-9,132
0,32;-9,153
0,32;-9,184
0,32;-9,218
0,32;-9,252
0,32;-9,280
0,32;-9,279
0,32;-9,304
0,32;-9,320
0,32;-9,345
0,32;-9,368
0,32;-9,382
0,32;-9,393
0,32;-9,381
0,32;-9,338
0,32;-9,293
0,32;-9,284
0,32;-9,296
0,32;-9,286
0,32;-9,284
0,32;-9,295
0,32;-9,323
0,32;-9,343
0,32;-9,366
0,32;-9,382
0,32;-9,386
0,32;-9,366
0,32;-9,338
0,32;-9,300
0,32;-9,286
0,32;-9,282
0,32;-9,264
0,32;-9,243
0,32;-9,225
0,32;-9,202
0,32;-9,169
0,32;-9,137
0,32;-9,109
0,32;-9,091
0,32;-9,069
0,32;-9,068
0,32;-9,075
0,32;-9,078
0,32;-9,060
0,32;-9,084
0,32;-9,087
0,32;-9,091
0,32;-9,087
0,32;-9,085
0,32;-9,094
0,32;-9,093
0,32;-9,089
0,32;-9,080
0,32;-9,084
0,32;-9,093
0,32;-9,096
0,32;-9,110
0,32;-9,112
0,32;-9,116
0,32;-9,119
0,32;-9,118
0,32;-9,123
0,32;-9,132
0,32;-9,134
0,32;-9,128
0,32;-9,130
0,32;-9,128
0,32;-9,119
0,32;-9,110
0,32;-9,100
0,32;-9,094
0,32;-9,080
0,32;-9,062
0,32;-9,068
0,32;-9,073
0,32;-9,071
0,32;-9,071
0,32;-9,071
0,32;-9,073
0,32;-9,075
0,32;-9,082
0,32;-9,082
0,32;-9,087
0,32;-9,089
0,32;-9,089
0,32;-9,093
0,32;-9,116
0,32;-9,144
0,32;-9,177
0,32;-9,211
0,32;-9,202
;-9,177
